Steps: 1900544/2000000, elapsed: 3575.0s, recent_avg_return: 193.09
Steps: 1916928/2000000, elapsed: 3603.8s, recent_avg_return: 187.99
Steps: 1933312/2000000, elapsed: 3633.6s, recent_avg_return: 158.62
Steps: 1949696/2000000, elapsed: 3663.6s, recent_avg_return: 173.87
Steps: 1966080/2000000, elapsed: 3695.1s, recent_avg_return: 187.70
Saved checkpoint: checkpoints_lunarlander/ckpt_1966080.pth
Steps: 1982464/2000000, elapsed: 3722.4s, recent_avg_return: 198.78
Steps: 1998848/2000000, elapsed: 3752.8s, recent_avg_return: 169.93
Steps: 2015232/2000000, elapsed: 3781.8s, recent_avg_return: 181.45
Saved checkpoint: checkpoints_lunarlander/ckpt_2015232.pth
